Mike McClay,San Francisco,California,94123,415-533-6439,mmcclay@gmail.com,100,Amex,GreenLaces,Spring,auth,Check this out 
Mike McClay,San Francisco,California,94123,415-533-6440,mmcclay@gmail.com,21,Visa,Aids,Winter,auth,Comment1
Mike McClay,San Francisco,California,94123,415-533-6441,mmcclay@gmail.com,55,Mastercard,Obama,2012,auth,Comment2
Mike McClay,San Francisco,California,94126,415-533-6442,mmcclay@gmail.com,73,Amex,Ron Paul,2012,auth,Comment3
Mike McClay,San Francisco,California,94123,415-533-6443,mmcclay@gmail.com,84,Amex,GreenLaces,Spring,auth,Comment4
Mike McClay,San Francisco,California,94128,415-533-6444,mmcclay@gmail.com,47,Visa,Aids,Winter,auth,Comment5
Mike McClay,San Francisco,California,94123,415-533-6445,mmcclay@gmail.com,29,Mastercard,Obama,2012,auth,Comment6
Mike McClay,San Francisco,California,94130,415-533-6446,mmcclay@gmail.com,61,Amex,Ron Paul,2012,auth,Comment7
Mike McClay,San Francisco,California,94123,415-533-6447,mmcclay@gmail.com,43,Amex,GreenLaces,Spring,auth,Comment8
Mike McClay,San Francisco,California,94132,415-533-6448,mmcclay@gmail.com,22,Visa,Aids,Winter,auth,Comment9
Mike McClay,San Francisco,California,94123,415-533-6449,mmcclay@gmail.com,34,Mastercard,Obama,2012,auth,Comment10
Mike McClay,San Francisco,California,94134,415-533-6450,mmcclay@gmail.com,41,Amex,Ron Paul,2012,auth,Comment11
Brian Upton,PaloAlto,California,94123,415-123-1234,bu@gmail.com,100,Amex,GreenLaces,Spring,auth,Check this out 
Brian Upton,PaloAlto,California,94301,415-123-1235,bu@gmail.com,33,Visa,Aids,Winter,auth,Comment1
Brian Upton,PaloAlto,California,94301,415-123-1236,bu@gmail.com,73,Mastercard,Obama,2012,auth,Comment2
Brian Upton,PaloAlto,California,94301,415-123-1237,bu@gmail.com,50,Amex,Ron Paul,2012,auth,Comment3
Brian Upton,PaloAlto,California,94301,415-123-1238,bu@gmail.com,87,Amex,GreenLaces,Spring,auth,Comment4
Brian Upton,PaloAlto,California,94301,415-123-1239,bu@gmail.com,19,Visa,Aids,Winter,auth,Comment5
Brian Upton,PaloAlto,California,94301,415-123-1240,bu@gmail.com,55,Mastercard,Obama,2012,auth,Comment6
Brian Upton,PaloAlto,California,94301,415-123-1241,bu@gmail.com,20,Amex,Ron Paul,2012,auth,Comment7
Brian Upton,PaloAlto,California,94301,415-123-1242,bu@gmail.com,51,Amex,GreenLaces,Spring,auth,Comment8
Brian Upton,PaloAlto,California,94301,415-123-1243,bu@gmail.com,40,Visa,Aids,Winter,auth,Comment9
Brian Upton,PaloAlto,California,94301,415-123-1244,bu@gmail.com,52,Mastercard,Obama,2012,auth,Comment10
Brian Upton,PaloAlto,California,94301,415-123-1245,bu@gmail.com,14,Amex,Ron Paul,2012,auth,Comment11
